,lvl12,etime,pressure,gph,temp,rh,dpdp,wdir,station-code,year,month,day,hour,reltime,npv,lattitude,longitude,wspd
132,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,253.32021557743127,INM00042103,1928.0,8.0,4.0,99.0,30.0,5.0,303833.0,767667.0,63.7019838201521
133,30,0.0,27371.557166103103,680.0,0.0,0.0,0.0,272.20035929571884,INM00042103,1928.0,8.0,5.0,99.0,30.0,3.0,303833.0,767667.0,102.8366397002535
134,30,0.0,27371.557166103103,680.0,0.0,0.0,0.0,263.3333333333333,INM00042103,1928.0,8.0,6.0,99.0,30.0,3.0,303833.0,767667.0,113.33333333333333
135,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,285.0,INM00042103,1928.0,8.0,8.0,99.0,30.0,4.0,303833.0,767667.0,115.0
136,30,0.0,27371.557166103103,680.0,0.0,0.0,0.0,286.6666666666667,INM00042103,1928.0,8.0,9.0,99.0,30.0,3.0,303833.0,767667.0,83.33333333333333
137,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,317.5,INM00042103,1928.0,8.0,10.0,99.0,30.0,4.0,303833.0,767667.0,72.5
138,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,297.5,INM00042103,1928.0,8.0,11.0,99.0,130.0,4.0,303833.0,767667.0,110.0
139,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,285.0,INM00042103,1928.0,8.0,12.0,99.0,30.0,4.0,303833.0,767667.0,110.0
140,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,283.32021557743127,INM00042103,1928.0,8.0,13.0,99.0,30.0,5.0,303833.0,767667.0,85.7019838201521
141,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,250.0,INM00042103,1928.0,8.0,14.0,99.0,30.0,6.0,303833.0,767667.0,50.0
142,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,273.3333333333333,INM00042103,1928.0,8.0,15.0,99.0,30.0,6.0,303833.0,767667.0,51.666666666666664
143,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,249.43351298119273,INM00042103,1928.0,8.0,16.0,99.0,30.0,6.0,303833.0,767667.0,81.41831985012675
144,30,0.0,27371.557166103103,2434.285714285714,0.0,0.0,0.0,267.14285714285717,INM00042103,1928.0,8.0,17.0,99.0,30.0,7.0,303833.0,767667.0,40.0
145,30,0.0,27371.557166103103,2291.4285714285716,0.0,0.0,0.0,94.28571428571429,INM00042103,1928.0,8.0,18.0,99.0,30.0,7.0,303833.0,767667.0,51.42857142857143
146,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,176.25,INM00042103,1928.0,8.0,19.0,99.0,130.0,8.0,303833.0,767667.0,37.5
147,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,188.33333333333334,INM00042103,1928.0,8.0,20.0,99.0,30.0,6.0,303833.0,767667.0,55.0
148,30,0.0,27371.557166103103,1093.3333333333333,0.0,0.0,0.0,119.16666666666667,INM00042103,1928.0,8.0,22.0,99.0,405.0,4.166666666666667,303833.0,767667.0,76.66666666666667
149,30,0.0,27371.557166103103,2434.285714285714,0.0,0.0,0.0,111.42857142857143,INM00042103,1928.0,8.0,23.0,99.0,230.0,7.0,303833.0,767667.0,32.857142857142854
150,30,0.0,27371.557166103103,1231.111111111111,0.0,0.0,0.0,133.33333333333334,INM00042103,1928.0,8.0,24.0,99.0,718.8888888888889,4.555555555555555,303833.0,767667.0,46.666666666666664
151,30,0.0,27371.557166103103,1010.0,0.0,0.0,0.0,125.0,INM00042103,1928.0,8.0,25.0,99.0,130.0,4.0,303833.0,767667.0,75.0
152,30,0.0,27371.557166103103,2434.285714285714,0.0,0.0,0.0,138.57142857142858,INM00042103,1928.0,8.0,26.0,99.0,130.0,7.0,303833.0,767667.0,42.857142857142854
